Protein	Protein ID	Entry Name	Gene	Protein Length	Coverage	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	01_01 Spectral Count	01_02 Spectral Count	02_01 Spectral Count	02_02 Spectral Count	01_01 Unique Spectral Count	01_02 Unique Spectral Count	02_01 Unique Spectral Count	02_02 Unique Spectral Count	01_01 Total Spectral Count	01_02 Total Spectral Count	02_01 Total Spectral Count	02_02 Total Spectral Count	01_01 Intensity	01_02 Intensity	02_01 Intensity	02_02 Intensity	01_01 Unique Intensity	01_02 Unique Intensity	02_01 Unique Intensity	02_02 Unique Intensity	01_01 Total Intensity	01_02 Total Intensity	02_01 Total Intensity	02_02 Total Intensity	01_01 MaxLFQ Intensity	01_02 MaxLFQ Intensity	02_01 MaxLFQ Intensity	02_02 MaxLFQ Intensity	01_01 MaxLFQ Unique Intensity	01_02 MaxLFQ Unique Intensity	02_01 MaxLFQ Unique Intensity	02_02 MaxLFQ Unique Intensity	01_01 MaxLFQ Total Intensity	01_02 MaxLFQ Total Intensity	02_01 MaxLFQ Total Intensity	02_02 MaxLFQ Total Intensity	Indistinguishable Proteins
sp|O00533|NCHL1_HUMAN	O00533	NCHL1_HUMAN	CHL1	1208	38.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Neural cell adhesion molecule L1-like protein	1.0000	0.9990	31	557	557	557	153	97	148	159	153	97	148	159	153	97	148	159	5.25916928E8	4.2266624E8	1.43296944E8	4.9359728E8	5.25916928E8	4.2266624E8	1.43296944E8	4.9359728E8	5.25916928E8	4.2266624E8	1.43296944E8	4.9359728E8	2.52492528E8	2.86152096E8	1.57766416E8	1.89720752E8	2.52492528E8	2.86152096E8	1.57766416E8	1.89720752E8	2.52492528E8	2.86152096E8	1.57766416E8	1.89720752E8	
sp|O00584|RNT2_HUMAN	O00584	RNT2_HUMAN	RNASET2	256	34.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ribonuclease T2	1.0000	0.9990	7	162	162	162	52	39	35	36	52	39	35	36	52	39	35	36	2.50081456E8	1.02241776E8	5.0176728E7	1.63662176E8	2.50081456E8	1.02241776E8	5.0176728E7	1.63662176E8	2.50081456E8	1.02241776E8	5.0176728E7	1.63662176E8	1.22568944E8	3.7055116E7	5.8787168E7	9.46642E7	1.22568944E8	3.7055116E7	5.8787168E7	9.46642E7	1.22568944E8	3.7055116E7	5.8787168E7	9.46642E7	
sp|O14498|ISLR_HUMAN	O14498	ISLR_HUMAN	ISLR	428	10.50	Homo sapiens OX=9606	2:Experimental evidence at transcript level	Immunoglobulin superfamily containing leucine-rich repeat protein	1.0000	0.9990	4	27	27	27	8	2	9	8	8	2	9	8	8	2	9	8	8603807.0	2.0324604E7	1784312.6	8609740.0	8603807.0	2.0324604E7	1784312.6	8609740.0	8603807.0	2.0324604E7	1784312.6	8609740.0	3637430.2	6767583.0	4964285.0	3448898.0	3637430.2	6767583.0	4964285.0	3448898.0	3637430.2	6767583.0	4964285.0	3448898.0	
sp|O14514|AGRB1_HUMAN	O14514	AGRB1_HUMAN	ADGRB1	1584	7.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	Adhesion G protein-coupled receptor B1	1.0000	0.9989	3	4	4	4	0	0	2	2	0	0	2	2	0	0	2	2	0.0	0.0	1202004.8	622001.3	0.0	0.0	1202004.8	622001.3	0.0	0.0	1202004.8	622001.3	0.0	0.0	866321.2	313575.3	0.0	0.0	866321.2	313575.3	0.0	0.0	866321.2	313575.3	
sp|O14522|PTPRT_HUMAN	O14522	PTPRT_HUMAN	PTPRT	1441	12.70	Homo sapiens OX=9606	1:Experimental evidence at protein level	Receptor-type tyrosine-protein phosphatase T	1.0000	0.9990	6	13	13	13	5	0	2	6	5	0	2	6	5	0	2	6	9729166.0	0.0	0.0	1180910.6	9729166.0	0.0	0.0	1180910.6	9729166.0	0.0	0.0	1180910.6	2343944.0	0.0	0.0	2728286.2	2343944.0	0.0	0.0	2728286.2	2343944.0	0.0	0.0	2728286.2	
sp|O14594|NCAN_HUMAN	O14594	NCAN_HUMAN	NCAN	1321	12.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	Neurocan core protein	1.0000	0.9990	18	127	127	150	35	18	39	35	35	18	39	35	43	20	43	44	2.23551808E8	2.8935336E7	1.69335712E8	1.38533904E8	2.23551808E8	2.8935336E7	1.69335712E8	1.38533904E8	3.02829888E8	1.1368816E8	3.68306112E8	1.92516992E8	7.829388E7	3.5640432E7	8.0449344E7	8.5050032E7	7.829388E7	3.5640432E7	8.0449344E7	8.5050032E7	1.62044512E8	7.173324E7	1.8665032E8	1.48253088E8	
sp|O14672|ADA10_HUMAN	O14672	ADA10_HUMAN	ADAM10	748	32.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	Disintegrin and metalloproteinase domain-containing protein 10	1.0000	0.9990	5	11	11	11	3	0	1	7	3	0	1	7	3	0	1	7	4312368.0	0.0	0.0	2479288.8	4312368.0	0.0	0.0	2479288.8	4312368.0	0.0	0.0	2479288.8	2982776.0	0.0	0.0	1806480.8	2982776.0	0.0	0.0	1806480.8	2982776.0	0.0	0.0	1806480.8	
sp|O14773|TPP1_HUMAN	O14773	TPP1_HUMAN	TPP1	563	6.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	Tripeptidyl-peptidase 1	1.0000	0.9990	3	18	18	18	4	3	4	7	4	3	4	7	4	3	4	7	2705529.5	666715.06	2058640.5	3340078.5	2705529.5	666715.06	2058640.5	3340078.5	2705529.5	666715.06	2058640.5	3340078.5	1287196.2	451201.34	1413041.5	1361016.9	1287196.2	451201.34	1413041.5	1361016.9	1287196.2	451201.34	1413041.5	1361016.9	
sp|O14786|NRP1_HUMAN	O14786	NRP1_HUMAN	NRP1	923	14.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Neuropilin-1	1.0000	0.9990	3	13	13	13	7	2	1	3	7	2	1	3	7	2	1	3	1.7287526E7	9.10472E8	1750787.9	1.0481107E7	1.7287526E7	9.10472E8	1750787.9	1.0481107E7	1.7287526E7	9.10472E8	1750787.9	1.0481107E7	1.4411675E7	3.40373984E8	2732298.5	8998440.0	1.4411675E7	3.40373984E8	2732298.5	8998440.0	1.4411675E7	3.40373984E8	2732298.5	8998440.0	
sp|O14791|APOL1_HUMAN	O14791	APOL1_HUMAN	APOL1	398	18.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	Apolipoprotein L1	1.0000	0.9990	6	27	27	27	12	2	4	9	12	2	4	9	12	2	4	9	3562595.5	2074146.5	1289596.0	3821611.8	3562595.5	2074146.5	1289596.0	3821611.8	3562595.5	2074146.5	1289596.0	3821611.8	1535940.0	1499164.1	1064961.5	1860605.8	1535940.0	1499164.1	1064961.5	1860605.8	1535940.0	1499164.1	1064961.5	1860605.8	
sp|O14793|GDF8_HUMAN	O14793	GDF8_HUMAN	MSTN	375	22.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Growth/differentiation factor 8	1.0000	0.9983	4	4	4	5	2	0	0	2	2	0	0	2	2	0	1	2	2314150.2	0.0	0.0	2541756.0	2314150.2	0.0	0.0	2541756.0	2314150.2	0.0	0.0	1616544.2	1457061.5	0.0	0.0	1169667.4	1457061.5	0.0	0.0	1169667.4	1457061.5	0.0	0.0	1169667.4	
sp|O14917|PCD17_HUMAN	O14917	PCD17_HUMAN	PCDH17	1159	23.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protocadherin-17	1.0000	0.9990	7	16	12	16	4	0	2	10	4	0	1	7	4	0	2	10	7757483.5	0.0	0.0	7011758.0	5118007.0	0.0	0.0	5068455.5	7757483.5	0.0	0.0	7011758.0	4035726.8	0.0	0.0	2849023.0	3280657.2	0.0	0.0	3143233.5	4035726.8	0.0	0.0	2849023.0	
sp|O15031|PLXB2_HUMAN	O15031	PLXB2_HUMAN	PLXNB2	1838	16.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	Plexin-B2	1.0000	0.9990	10	56	56	56	17	1	13	25	17	1	13	25	17	1	13	25	1.732525E7	2440111.8	6704734.0	1.5363279E7	1.732525E7	2440111.8	6704734.0	1.5363279E7	1.732525E7	2440111.8	6704734.0	1.5363279E7	5991737.0	6439120.5	3842140.8	5556434.5	5991737.0	6439120.5	3842140.8	5556434.5	5991737.0	6439120.5	3842140.8	5556434.5	
sp|O15072|ATS3_HUMAN	O15072	ATS3_HUMAN	ADAMTS3	1205	13.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	A disintegrin and metalloproteinase with thrombospondin motifs 3	1.0000	0.9989	2	5	5	5	1	1	1	2	1	1	1	2	1	1	1	2	1545577.5	1855500.5	576802.8	7655713.0	1545577.5	1855500.5	576802.8	7655713.0	1545577.5	1855500.5	576802.8	7655713.0	881775.0	1763582.9	548229.2	1.0925854E7	881775.0	1763582.9	548229.2	1.0925854E7	881775.0	1763582.9	548229.2	1.0925854E7	
sp|O15197|EPHB6_HUMAN	O15197	EPHB6_HUMAN	EPHB6	1021	11.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ephrin type-B receptor 6	1.0000	0.9990	2	18	18	18	8	3	2	5	8	3	2	5	8	3	2	5	1843102.4	2371285.5	2976106.5	1922831.1	1843102.4	2371285.5	2976106.5	1922831.1	1843102.4	2371285.5	2976106.5	1922831.1	1055947.4	1297781.0	1692652.8	1094742.8	1055947.4	1297781.0	1692652.8	1094742.8	1055947.4	1297781.0	1692652.8	1094742.8	
sp|O15230|LAMA5_HUMAN	O15230	LAMA5_HUMAN	LAMA5	3695	14.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	Laminin subunit alpha-5	1.0000	0.9990	10	22	22	22	9	0	6	7	9	0	6	7	9	0	6	7	5142153.0	0.0	0.0	3539683.0	5142153.0	0.0	0.0	3539683.0	5142153.0	0.0	0.0	3539683.0	1445897.2	0.0	1714867.4	1109049.9	1445897.2	0.0	1714867.4	1109049.9	1445897.2	0.0	1714867.4	1109049.9	
sp|O15240|VGF_HUMAN	O15240	VGF_HUMAN	VGF	615	54.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	Neurosecretory protein VGF	1.0000	0.9990	28	874	874	874	154	74	433	213	154	74	433	213	154	74	433	213	1.72466816E8	8.7936888E7	1.87620656E8	3.94492E8	1.72466816E8	8.7936888E7	1.87620656E8	3.94492E8	1.72466816E8	8.7936888E7	1.87620656E8	3.94492E8	9.2511848E7	1.26031872E8	1.45123824E8	1.7085616E8	9.2511848E7	1.26031872E8	1.45123824E8	1.7085616E8	9.2511848E7	1.26031872E8	1.45123824E8	1.7085616E8	
sp|O15394|NCAM2_HUMAN	O15394	NCAM2_HUMAN	NCAM2	837	27.70	Homo sapiens OX=9606	1:Experimental evidence at protein level	Neural cell adhesion molecule 2	1.0000	0.9990	20	134	134	134	56	15	20	43	56	15	20	43	56	15	20	43	1.00427296E8	1.4993695E7	5.7140308E7	5.431976E7	1.00427296E8	1.4993695E7	5.7140308E7	5.431976E7	1.00427296E8	1.4993695E7	5.7140308E7	5.431976E7	4.6594564E7	2.7150668E7	2.479598E7	3.4456596E7	4.6594564E7	2.7150668E7	2.479598E7	3.4456596E7	4.6594564E7	2.7150668E7	2.479598E7	3.4456596E7	
sp|O15400|STX7_HUMAN	O15400	STX7_HUMAN	STX7	261	9.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	Syntaxin-7	1.0000	0.9990	2	9	9	9	2	0	4	3	2	0	4	3	2	0	4	3	1433600.5	0.0	1099971.5	1675473.8	1433600.5	0.0	1099971.5	1675473.8	1433600.5	0.0	1099971.5	1675473.8	847014.4	0.0	709970.06	1023599.9	847014.4	0.0	709970.06	1023599.9	847014.4	0.0	709970.06	1023599.9	
sp|O43157|PLXB1_HUMAN	O43157	PLXB1_HUMAN	PLXNB1	2135	8.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	Plexin-B1	1.0000	0.9989	4	19	19	19	8	0	4	7	8	0	4	7	8	0	4	7	3109677.5	0.0	948754.9	2239510.2	3109677.5	0.0	948754.9	2239510.2	3109677.5	0.0	948754.9	2239510.2	1977407.4	0.0	948754.9	1400362.9	1977407.4	0.0	948754.9	1400362.9	1977407.4	0.0	948754.9	1400362.9	
sp|O43278|SPIT1_HUMAN	O43278	SPIT1_HUMAN	SPINT1	529	30.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	Kunitz-type protease inhibitor 1	1.0000	0.9990	5	8	8	8	6	0	0	2	6	0	0	2	6	0	0	2	4215889.0	0.0	0.0	2657014.5	4215889.0	0.0	0.0	2657014.5	4215889.0	0.0	0.0	2657014.5	1593961.2	0.0	0.0	1781930.4	1593961.2	0.0	0.0	1781930.4	1593961.2	0.0	0.0	1781930.4	
sp|O43291|SPIT2_HUMAN	O43291	SPIT2_HUMAN	SPINT2	252	50.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Kunitz-type protease inhibitor 2	1.0000	0.9990	3	11	11	11	3	2	1	5	3	2	1	5	3	2	1	5	4103702.2	934157.44	0.0	2515578.2	4103702.2	934157.44	0.0	2515578.2	4103702.2	934157.44	0.0	2515578.2	1714563.0	1421984.5	0.0	864461.06	1714563.0	1421984.5	0.0	864461.06	1714563.0	1421984.5	0.0	864461.06	
sp|O43396|TXNL1_HUMAN	O43396	TXNL1_HUMAN	TXNL1	289	32.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	Thioredoxin-like protein 1	1.0000	0.9990	2	4	4	4	4	0	0	0	4	0	0	0	4	0	0	0	1309842.4	0.0	0.0	401067.84	1309842.4	0.0	0.0	401067.84	1309842.4	0.0	0.0	401067.84	868680.5	0.0	0.0	401067.84	868680.5	0.0	0.0	401067.84	868680.5	0.0	0.0	401067.84	
sp|O43493|TGON2_HUMAN	O43493	TGON2_HUMAN	TGOLN2	437	57.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	Trans-Golgi network integral membrane protein 2	1.0000	0.9990	18	150	150	150	63	18	28	41	63	18	28	41	63	18	28	41	2.38350016E8	1.427376E7	5.1833372E7	2.7977808E7	2.38350016E8	1.427376E7	5.1833372E7	2.7977808E7	2.38350016E8	1.427376E7	5.1833372E7	2.7977808E7	8.6923448E7	6.8298544E7	2.0193674E7	4.8136788E7	8.6923448E7	6.8298544E7	2.0193674E7	4.8136788E7	8.6923448E7	6.8298544E7	2.0193674E7	4.8136788E7	
sp|O43505|B4GA1_HUMAN	O43505	B4GA1_HUMAN	B4GAT1	415	17.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Beta-1,4-glucuronyltransferase 1	1.0000	0.9990	6	118	118	118	31	19	40	28	31	19	40	28	31	19	40	28	1.17206864E8	1.90899408E8	1.96758496E8	1.28620168E8	1.17206864E8	1.90899408E8	1.96758496E8	1.28620168E8	1.17206864E8	1.90899408E8	1.96758496E8	1.28620168E8	1.04325432E8	7.3355712E7	1.70339072E8	1.23636448E8	1.04325432E8	7.3355712E7	1.70339072E8	1.23636448E8	1.04325432E8	7.3355712E7	1.70339072E8	1.23636448E8	
sp|O43556|SGCE_HUMAN	O43556	SGCE_HUMAN	SGCE	437	14.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	Epsilon-sarcoglycan	1.0000	0.9990	5	16	16	16	7	1	4	4	7	1	4	4	7	1	4	4	5979398.5	1054580.6	2786858.0	6678901.5	5979398.5	1054580.6	2786858.0	6678901.5	5979398.5	1054580.6	2786858.0	6678901.5	3248104.0	3386095.8	2817142.8	2791333.8	3248104.0	3386095.8	2817142.8	2791333.8	3248104.0	3386095.8	2817142.8	2791333.8	
sp|O43866|CD5L_HUMAN	O43866	CD5L_HUMAN	CD5L	347	24.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	CD5 antigen-like	1.0000	0.9990	5	22	22	22	7	2	3	10	7	2	3	10	7	2	3	10	4193010.8	4191820.5	1087471.6	2373641.5	4193010.8	4191820.5	1087471.6	2373641.5	4193010.8	4191820.5	1087471.6	2373641.5	1473889.1	4090450.5	636255.75	1457354.8	1473889.1	4090450.5	636255.75	1457354.8	1473889.1	4090450.5	636255.75	1457354.8	
sp|O43897|TLL1_HUMAN	O43897	TLL1_HUMAN	TLL1	1013	10.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	Tolloid-like protein 1	1.0000	0.9988	2	5	5	5	2	0	1	2	2	0	1	2	2	0	1	2	1645883.9	862654.2	0.0	2270647.5	1645883.9	862654.2	0.0	2270647.5	1645883.9	862654.2	0.0	2270647.5	1645883.9	862654.2	0.0	2270647.5	1645883.9	862654.2	0.0	2270647.5	1645883.9	862654.2	0.0	2270647.5	
sp|O60241|AGRB2_HUMAN	O60241	AGRB2_HUMAN	ADGRB2	1585	11.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Adhesion G protein-coupled receptor B2	1.0000	0.9990	4	7	7	7	5	0	0	2	5	0	0	2	5	0	0	2	1.9422044E7	0.0	0.0	2.6264052E7	1.9422044E7	0.0	0.0	2.6264052E7	1.9422044E7	0.0	0.0	2.6264052E7	1.6509228E7	0.0	0.0	1.940016E7	1.6509228E7	0.0	0.0	1.940016E7	1.6509228E7	0.0	0.0	1.940016E7	
