"ACTION_DIRECTION","ACTION_SCORE","ACTION_TYPE","edge-label","EDGE_UNIQUE_SUID","EVIDENCE_CODE","INITIAL_SOURCE_NAME","INITIAL_TARGET_NAME","interaction","INTERACTION_TYPE","KappaScore","name","Regulates Source","Regulates Target","selected","shared interaction","shared name","SIGNUM","SOURCE_NAME","SOURCE_SYMBOL_NAME","TARGET_NAME","TARGET_SYMBOL_NAME","UNIQUE_ID"
,,,,"1739","kappa:0.42",,,"term-term","term-term","0.417910447761194","maintenance of protein location in cell (term-term) peptidyl-cysteine modification",,,"true","term-term","maintenance of protein location in cell (term-term) peptidyl-cysteine modification","+",,,,,"GO:0032507 (term-term) GO:0018198"
,,,,"1745","IMP","GO:0043388","11315","gene-term","GO:0043388","2.0","positive%20regulation%20of%20DNA%20binding (gene-term) PARK7",,,"true","gene-term","positive%20regulation%20of%20DNA%20binding (gene-term) PARK7",,,,,,"GO:0043388 (gene-term) 11315"
,,,,"1748","IDA","GO:0043388","7295","gene-term","GO:0043388","2.0","positive%20regulation%20of%20DNA%20binding (gene-term) TXN",,,"true","gene-term","positive%20regulation%20of%20DNA%20binding (gene-term) TXN",,,,,,"GO:0043388 (gene-term) 7295"
,,,,"1754","IEA","GO:0043388","801","gene-term","GO:0043388",,"positive%20regulation%20of%20DNA%20binding (gene-term) CALM1",,,"true","gene-term","positive%20regulation%20of%20DNA%20binding (gene-term) CALM1",,,,,,"GO:0043388 (gene-term) 801"
,,,,"1757","kappa:0.57",,,"term-term","term-term","0.5666666666666667","positive regulation of DNA binding (term-term) peptidyl-cysteine modification",,,"true","term-term","positive regulation of DNA binding (term-term) peptidyl-cysteine modification","+",,,,,"GO:0043388 (term-term) GO:0018198"
,,,,"1760","kappa:0.42",,,"term-term","term-term","0.417910447761194","positive regulation of DNA binding (term-term) maintenance of protein location in cell",,,"true","term-term","positive regulation of DNA binding (term-term) maintenance of protein location in cell","+",,,,,"GO:0043388 (term-term) GO:0032507"
,,,,"1766","IGI","GO:0045185","11315","gene-term","GO:0045185","2.0","maintenance%20of%20protein%20location (gene-term) PARK7",,,"true","gene-term","maintenance%20of%20protein%20location (gene-term) PARK7",,,,,,"GO:0045185 (gene-term) 11315"
,,,,"1769","IMP","GO:0045185","7114","gene-term","GO:0045185","2.0","maintenance%20of%20protein%20location (gene-term) TMSB4X",,,"true","gene-term","maintenance%20of%20protein%20location (gene-term) TMSB4X",,,,,,"GO:0045185 (gene-term) 7114"
,,,,"1772","IEA","GO:0045185","7295","gene-term","GO:0045185",,"maintenance%20of%20protein%20location (gene-term) TXN",,,"true","gene-term","maintenance%20of%20protein%20location (gene-term) TXN",,,,,,"GO:0045185 (gene-term) 7295"
,,,,"1775","IBA","GO:0045185","9168","gene-term","GO:0045185",,"maintenance%20of%20protein%20location (gene-term) TMSB10",,,"true","gene-term","maintenance%20of%20protein%20location (gene-term) TMSB10",,,,,,"GO:0045185 (gene-term) 9168"
,,,,"1778","kappa:0.42",,,"term-term","term-term","0.417910447761194","maintenance of protein location (term-term) peptidyl-cysteine modification",,,"true","term-term","maintenance of protein location (term-term) peptidyl-cysteine modification","+",,,,,"GO:0045185 (term-term) GO:0018198"
,,,,"1781","kappa:1.0",,,"term-term","term-term","1.0","maintenance of protein location (term-term) maintenance of protein location in cell",,,"true","term-term","maintenance of protein location (term-term) maintenance of protein location in cell","+",,,,,"GO:0045185 (term-term) GO:0032507"
,,,,"1784","is_a:",,,"term-term","term-term","2.0","maintenance of protein location (term-term-ontology) maintenance of protein location in cell",,"POSITIVELY_REGULATES","true","term-term","maintenance of protein location (term-term-ontology) maintenance of protein location in cell","+",,,,,"GO:0045185 (term-term-ontology) GO:0032507"
,,,,"1787","kappa:0.42",,,"term-term","term-term","0.417910447761194","maintenance of protein location (term-term) positive regulation of DNA binding",,,"true","term-term","maintenance of protein location (term-term) positive regulation of DNA binding","+",,,,,"GO:0045185 (term-term) GO:0043388"
,,,,"1793","TAS","GO:0046364","2023","gene-term","GO:0046364",,"monosaccharide%20biosynthetic%20process (gene-term) ENO1",,,"true","gene-term","monosaccharide%20biosynthetic%20process (gene-term) ENO1",,,,,,"GO:0046364 (gene-term) 2023"
,,,,"1796","TAS","GO:0046364","226","gene-term","GO:0046364",,"monosaccharide%20biosynthetic%20process (gene-term) ALDOA",,,"true","gene-term","monosaccharide%20biosynthetic%20process (gene-term) ALDOA",,,,,,"GO:0046364 (gene-term) 226"
,,,,"1799","TAS","GO:0046364","2597","gene-term","GO:0046364",,"monosaccharide%20biosynthetic%20process (gene-term) GAPDH",,,"true","gene-term","monosaccharide%20biosynthetic%20process (gene-term) GAPDH",,,,,,"GO:0046364 (gene-term) 2597"
,,,,"1802","TAS","GO:0046364","4190","gene-term","GO:0046364",,"monosaccharide%20biosynthetic%20process (gene-term) MDH1",,,"true","gene-term","monosaccharide%20biosynthetic%20process (gene-term) MDH1",,,,,,"GO:0046364 (gene-term) 4190"
,,,,"1805","TAS","GO:0046364","5230","gene-term","GO:0046364",,"monosaccharide%20biosynthetic%20process (gene-term) PGK1",,,"true","gene-term","monosaccharide%20biosynthetic%20process (gene-term) PGK1",,,,,,"GO:0046364 (gene-term) 5230"
,,,,"1808","kappa:0.68",,,"term-term","term-term","0.6749999999999999","monosaccharide biosynthetic process (term-term) glucose catabolic process",,,"true","term-term","monosaccharide biosynthetic process (term-term) glucose catabolic process","+",,,,,"GO:0046364 (term-term) GO:0006007"
,,,,"1811","kappa:1.0",,,"term-term","term-term","1.0","monosaccharide biosynthetic process (term-term) gluconeogenesis",,,"true","term-term","monosaccharide biosynthetic process (term-term) gluconeogenesis","+",,,,,"GO:0046364 (term-term) GO:0006094"
,,,,"1814","kappa:0.68",,,"term-term","term-term","0.6749999999999999","monosaccharide biosynthetic process (term-term) NADH regeneration",,,"true","term-term","monosaccharide biosynthetic process (term-term) NADH regeneration","+",,,,,"GO:0046364 (term-term) GO:0006735"
,,,,"1817","kappa:1.0",,,"term-term","term-term","1.0","monosaccharide biosynthetic process (term-term) hexose biosynthetic process",,,"true","term-term","monosaccharide biosynthetic process (term-term) hexose biosynthetic process","+",,,,,"GO:0046364 (term-term) GO:0019319"
,,,,"1820","is_a:",,,"term-term","term-term","2.0","monosaccharide biosynthetic process (term-term-ontology) hexose biosynthetic process",,"POSITIVELY_REGULATES","true","term-term","monosaccharide biosynthetic process (term-term-ontology) hexose biosynthetic process","+",,,,,"GO:0046364 (term-term-ontology) GO:0019319"
,,,,"1823","kappa:0.68",,,"term-term","term-term","0.6749999999999999","monosaccharide biosynthetic process (term-term) hexose catabolic process",,,"true","term-term","monosaccharide biosynthetic process (term-term) hexose catabolic process","+",,,,,"GO:0046364 (term-term) GO:0019320"
,,,,"1829","TAS","GO:0046365","2023","gene-term","GO:0046365",,"monosaccharide%20catabolic%20process (gene-term) ENO1",,,"true","gene-term","monosaccharide%20catabolic%20process (gene-term) ENO1",,,,,,"GO:0046365 (gene-term) 2023"
,,,,"1832","TAS","GO:0046365","226","gene-term","GO:0046365",,"monosaccharide%20catabolic%20process (gene-term) ALDOA",,,"true","gene-term","monosaccharide%20catabolic%20process (gene-term) ALDOA",,,,,,"GO:0046365 (gene-term) 226"
,,,,"1835","TAS","GO:0046365","2597","gene-term","GO:0046365",,"monosaccharide%20catabolic%20process (gene-term) GAPDH",,,"true","gene-term","monosaccharide%20catabolic%20process (gene-term) GAPDH",,,,,,"GO:0046365 (gene-term) 2597"
,,,,"1838","TAS","GO:0046365","5230","gene-term","GO:0046365",,"monosaccharide%20catabolic%20process (gene-term) PGK1",,,"true","gene-term","monosaccharide%20catabolic%20process (gene-term) PGK1",,,,,,"GO:0046365 (gene-term) 5230"
,,,,"1841","TAS","GO:0046365","5315","gene-term","GO:0046365",,"monosaccharide%20catabolic%20process (gene-term) PKM",,,"true","gene-term","monosaccharide%20catabolic%20process (gene-term) PKM",,,,,,"GO:0046365 (gene-term) 5315"
,,,,"1844","kappa:1.0",,,"term-term","term-term","1.0","monosaccharide catabolic process (term-term) glucose catabolic process",,,"true","term-term","monosaccharide catabolic process (term-term) glucose catabolic process","+",,,,,"GO:0046365 (term-term) GO:0006007"
,,,,"1847","kappa:0.68",,,"term-term","term-term","0.6749999999999999","monosaccharide catabolic process (term-term) gluconeogenesis",,,"true","term-term","monosaccharide catabolic process (term-term) gluconeogenesis","+",,,,,"GO:0046365 (term-term) GO:0006094"
,,,,"1850","kappa:1.0",,,"term-term","term-term","1.0","monosaccharide catabolic process (term-term) NADH regeneration",,,"true","term-term","monosaccharide catabolic process (term-term) NADH regeneration","+",,,,,"GO:0046365 (term-term) GO:0006735"
,,,,"1853","kappa:0.68",,,"term-term","term-term","0.6749999999999999","monosaccharide catabolic process (term-term) hexose biosynthetic process",,,"true","term-term","monosaccharide catabolic process (term-term) hexose biosynthetic process","+",,,,,"GO:0046365 (term-term) GO:0019319"
,,,,"1856","kappa:1.0",,,"term-term","term-term","1.0","monosaccharide catabolic process (term-term) hexose catabolic process",,,"true","term-term","monosaccharide catabolic process (term-term) hexose catabolic process","+",,,,,"GO:0046365 (term-term) GO:0019320"
,,,,"1859","is_a:",,,"term-term","term-term","2.0","monosaccharide catabolic process (term-term-ontology) hexose catabolic process",,"POSITIVELY_REGULATES","true","term-term","monosaccharide catabolic process (term-term-ontology) hexose catabolic process","+",,,,,"GO:0046365 (term-term-ontology) GO:0019320"
,,,,"1862","kappa:0.68",,,"term-term","term-term","0.6749999999999999","monosaccharide catabolic process (term-term) monosaccharide biosynthetic process",,,"true","term-term","monosaccharide catabolic process (term-term) monosaccharide biosynthetic process","+",,,,,"GO:0046365 (term-term) GO:0046364"
,,,,"1868","TAS","GO:0061615","2023","gene-term","GO:0061615",,"glycolytic%20process%20through%20fructose-6-phosphate (gene-term) ENO1",,,"true","gene-term","glycolytic%20process%20through%20fructose-6-phosphate (gene-term) ENO1",,,,,,"GO:0061615 (gene-term) 2023"
,,,,"1871","TAS","GO:0061615","226","gene-term","GO:0061615",,"glycolytic%20process%20through%20fructose-6-phosphate (gene-term) ALDOA",,,"true","gene-term","glycolytic%20process%20through%20fructose-6-phosphate (gene-term) ALDOA",,,,,,"GO:0061615 (gene-term) 226"
,,,,"1874","TAS","GO:0061615","2597","gene-term","GO:0061615",,"glycolytic%20process%20through%20fructose-6-phosphate (gene-term) GAPDH",,,"true","gene-term","glycolytic%20process%20through%20fructose-6-phosphate (gene-term) GAPDH",,,,,,"GO:0061615 (gene-term) 2597"
,,,,"1877","TAS","GO:0061615","5230","gene-term","GO:0061615",,"glycolytic%20process%20through%20fructose-6-phosphate (gene-term) PGK1",,,"true","gene-term","glycolytic%20process%20through%20fructose-6-phosphate (gene-term) PGK1",,,,,,"GO:0061615 (gene-term) 5230"
,,,,"1880","TAS","GO:0061615","5315","gene-term","GO:0061615",,"glycolytic%20process%20through%20fructose-6-phosphate (gene-term) PKM",,,"true","gene-term","glycolytic%20process%20through%20fructose-6-phosphate (gene-term) PKM",,,,,,"GO:0061615 (gene-term) 5315"
,,,,"1883","kappa:1.0",,,"term-term","term-term","1.0","glycolytic process through fructose-6-phosphate (term-term) glucose catabolic process",,,"true","term-term","glycolytic process through fructose-6-phosphate (term-term) glucose catabolic process","+",,,,,"GO:0061615 (term-term) GO:0006007"
,,,,"1886","kappa:0.68",,,"term-term","term-term","0.6749999999999999","glycolytic process through fructose-6-phosphate (term-term) gluconeogenesis",,,"true","term-term","glycolytic process through fructose-6-phosphate (term-term) gluconeogenesis","+",,,,,"GO:0061615 (term-term) GO:0006094"
,,,,"1889","kappa:1.0",,,"term-term","term-term","1.0","glycolytic process through fructose-6-phosphate (term-term) NADH regeneration",,,"true","term-term","glycolytic process through fructose-6-phosphate (term-term) NADH regeneration","+",,,,,"GO:0061615 (term-term) GO:0006735"
,,,,"1892","kappa:0.68",,,"term-term","term-term","0.6749999999999999","glycolytic process through fructose-6-phosphate (term-term) hexose biosynthetic process",,,"true","term-term","glycolytic process through fructose-6-phosphate (term-term) hexose biosynthetic process","+",,,,,"GO:0061615 (term-term) GO:0019319"
,,,,"1895","kappa:1.0",,,"term-term","term-term","1.0","glycolytic process through fructose-6-phosphate (term-term) hexose catabolic process",,,"true","term-term","glycolytic process through fructose-6-phosphate (term-term) hexose catabolic process","+",,,,,"GO:0061615 (term-term) GO:0019320"
,,,,"1898","kappa:0.68",,,"term-term","term-term","0.6749999999999999","glycolytic process through fructose-6-phosphate (term-term) monosaccharide biosynthetic process",,,"true","term-term","glycolytic process through fructose-6-phosphate (term-term) monosaccharide biosynthetic process","+",,,,,"GO:0061615 (term-term) GO:0046364"
,,,,"1901","kappa:1.0",,,"term-term","term-term","1.0","glycolytic process through fructose-6-phosphate (term-term) monosaccharide catabolic process",,,"true","term-term","glycolytic process through fructose-6-phosphate (term-term) monosaccharide catabolic process","+",,,,,"GO:0061615 (term-term) GO:0046365"
